Date,District,Vegetable,Sales (kg)
3/15/24,Batticaloa,Beans,116750
3/15/24,Batticaloa,Cabbage,69500
3/15/24,Batticaloa,Tomatoes,79500
3/15/24,Batticaloa,Potatoes,59000
3/15/24,Batticaloa,Brinjals,36500
3/15/24,Batticaloa,Pumpkins,36250
3/15/24,Batticaloa,Spinach,13750
3/15/24,Jaffna,Carrots,112000
3/15/24,Jaffna,Beans,103750
3/15/24,Jaffna,Cabbage,123750
3/15/24,Jaffna,Tomatoes,78750
3/15/24,Jaffna,Potatoes,79250
3/15/24,Jaffna,Brinjals,56000
3/15/24,Jaffna,Pumpkins,48000
3/15/24,Jaffna,Spinach,124000
3/16/24,Colombo,Carrots,207000
3/16/24,Colombo,Beans,114300
3/16/24,Colombo,Cabbage,72900
3/16/24,Colombo,Tomatoes,424800
3/16/24,Colombo,Potatoes,310500
3/16/24,Colombo,Brinjals,326700
3/16/24,Colombo,Pumpkins,307800
3/16/24,Colombo,Spinach,220500
3/16/24,Kandy,Carrots,133200
3/16/24,Kandy,Beans,235800
3/16/24,Kandy,Cabbage,244200
3/16/24,Kandy,Tomatoes,69600
3/16/24,Kandy,Potatoes,186000
3/16/24,Kandy,Brinjals,297000
3/16/24,Kandy,Pumpkins,220200
3/16/24,Kandy,Spinach,117000
3/16/24,Batticaloa,Carrots,84250
3/16/24,Batticaloa,Beans,16500
3/16/24,Batticaloa,Cabbage,21250
3/16/24,Batticaloa,Tomatoes,83250
3/16/24,Batticaloa,Potatoes,55000
3/16/24,Batticaloa,Brinjals,68000
3/16/24,Batticaloa,Pumpkins,81750
3/16/24,Batticaloa,Spinach,63250
3/16/24,Jaffna,Carrots,62500
3/16/24,Jaffna,Beans,107250
3/16/24,Jaffna,Cabbage,113250
3/16/24,Jaffna,Tomatoes,60750
3/16/24,Jaffna,Potatoes,23500
3/16/24,Jaffna,Brinjals,60000
3/16/24,Jaffna,Pumpkins,12750
3/16/24,Jaffna,Spinach,43500
3/17/24,Colombo,Carrots,252900
3/17/24,Colombo,Beans,82800
3/17/24,Colombo,Cabbage,179100
3/17/24,Colombo,Tomatoes,374400
3/17/24,Colombo,Potatoes,315900
3/17/24,Colombo,Brinjals,257400
3/17/24,Colombo,Pumpkins,379800
3/17/24,Colombo,Spinach,427500
3/17/24,Kandy,Carrots,240000
3/17/24,Kandy,Beans,142800
3/17/24,Kandy,Cabbage,281400
3/17/24,Kandy,Tomatoes,279600
3/17/24,Kandy,Potatoes,196200
3/17/24,Kandy,Brinjals,205800
3/17/24,Kandy,Pumpkins,78000
3/17/24,Kandy,Spinach,73800
3/17/24,Batticaloa,Carrots,116750
3/17/24,Batticaloa,Beans,37250
3/17/24,Batticaloa,Cabbage,74500
3/17/24,Batticaloa,Tomatoes,39250
3/17/24,Batticaloa,Potatoes,98750
3/17/24,Batticaloa,Brinjals,16500
3/17/24,Batticaloa,Pumpkins,15000
3/17/24,Batticaloa,Spinach,116750
3/17/24,Jaffna,Carrots,107750
3/17/24,Jaffna,Beans,40250
3/17/24,Jaffna,Cabbage,27000
3/17/24,Jaffna,Tomatoes,25750
3/17/24,Jaffna,Potatoes,102250
3/17/24,Jaffna,Brinjals,116000
3/17/24,Jaffna,Pumpkins,78000
3/17/24,Jaffna,Spinach,102000
3/18/24,Colombo,Carrots,234000
3/18/24,Colombo,Beans,266400
3/18/24,Colombo,Cabbage,430200
3/18/24,Colombo,Tomatoes,388800
3/18/24,Colombo,Potatoes,70200
3/18/24,Colombo,Brinjals,360000
3/18/24,Colombo,Pumpkins,223200
3/18/24,Colombo,Spinach,326700
3/18/24,Kandy,Carrots,238800
3/18/24,Kandy,Beans,205800
3/18/24,Kandy,Cabbage,103800
3/18/24,Kandy,Tomatoes,33000
3/18/24,Kandy,Potatoes,68400
3/18/24,Kandy,Brinjals,75000
3/18/24,Kandy,Pumpkins,283200
3/18/24,Kandy,Spinach,80400
3/18/24,Batticaloa,Carrots,57500
3/18/24,Batticaloa,Beans,117500
3/18/24,Batticaloa,Cabbage,86750
3/18/24,Batticaloa,Tomatoes,13250
3/18/24,Batticaloa,Potatoes,25500
3/18/24,Batticaloa,Brinjals,116250
3/18/24,Batticaloa,Pumpkins,68250
3/18/24,Batticaloa,Spinach,28500
3/18/24,Jaffna,Carrots,102750
3/18/24,Jaffna,Beans,122750
3/18/24,Jaffna,Cabbage,60250
3/18/24,Jaffna,Tomatoes,40250
3/18/24,Jaffna,Potatoes,72750
3/18/24,Jaffna,Brinjals,15500
3/18/24,Jaffna,Pumpkins,28250
3/18/24,Jaffna,Spinach,65750
3/19/24,Colombo,Carrots,258300
3/19/24,Colombo,Beans,258300
3/19/24,Colombo,Cabbage,298800
3/19/24,Colombo,Tomatoes,282600
3/19/24,Colombo,Potatoes,84600
3/19/24,Colombo,Brinjals,90000
3/19/24,Colombo,Pumpkins,97200
3/19/24,Colombo,Spinach,348300
3/19/24,Kandy,Carrots,166800
3/19/24,Kandy,Beans,234600
3/19/24,Kandy,Cabbage,88800
3/19/24,Kandy,Tomatoes,220800
3/19/24,Kandy,Potatoes,49800
3/19/24,Kandy,Brinjals,157800
3/19/24,Kandy,Pumpkins,120600
3/19/24,Kandy,Spinach,224400
3/19/24,Batticaloa,Carrots,13500
3/19/24,Batticaloa,Beans,49750
3/19/24,Batticaloa,Cabbage,55250
3/19/24,Batticaloa,Tomatoes,46250
3/19/24,Batticaloa,Potatoes,51250
3/19/24,Batticaloa,Brinjals,107750
3/19/24,Batticaloa,Pumpkins,30500
3/19/24,Batticaloa,Spinach,54750
3/19/24,Jaffna,Carrots,57750
3/19/24,Jaffna,Beans,21250
3/19/24,Jaffna,Cabbage,101750
3/19/24,Jaffna,Tomatoes,119750
3/19/24,Jaffna,Potatoes,97500
3/19/24,Jaffna,Brinjals,28750
3/19/24,Jaffna,Pumpkins,83000
3/19/24,Jaffna,Spinach,89250
3/20/24,Colombo,Carrots,352800
3/20/24,Colombo,Beans,351900
3/20/24,Colombo,Cabbage,274500
3/20/24,Colombo,Tomatoes,404100
3/20/24,Colombo,Potatoes,100800
3/20/24,Colombo,Brinjals,393300
3/20/24,Colombo,Pumpkins,372600
3/20/24,Colombo,Spinach,201600
3/20/24,Kandy,Carrots,220800
3/20/24,Kandy,Beans,223800
3/20/24,Kandy,Cabbage,283200
3/20/24,Kandy,Tomatoes,268800
3/20/24,Kandy,Potatoes,38400
3/20/24,Kandy,Brinjals,99000
3/20/24,Kandy,Pumpkins,223200
3/20/24,Kandy,Spinach,221400
3/20/24,Batticaloa,Carrots,53000
3/20/24,Batticaloa,Beans,107500
3/20/24,Batticaloa,Cabbage,71750
3/20/24,Batticaloa,Tomatoes,64000
3/20/24,Batticaloa,Potatoes,63750
3/20/24,Batticaloa,Brinjals,71250
3/20/24,Batticaloa,Pumpkins,111250
3/20/24,Batticaloa,Spinach,43000
3/20/24,Jaffna,Carrots,47500
3/20/24,Jaffna,Beans,61000
3/20/24,Jaffna,Cabbage,61750
3/20/24,Jaffna,Tomatoes,113750
3/20/24,Jaffna,Potatoes,89750
3/20/24,Jaffna,Brinjals,53250
3/20/24,Jaffna,Pumpkins,64750
3/20/24,Jaffna,Spinach,67500
3/21/24,Colombo,Carrots,367200
3/21/24,Colombo,Beans,401400
3/21/24,Colombo,Cabbage,232200
3/21/24,Colombo,Tomatoes,344700
3/21/24,Colombo,Potatoes,298800
3/21/24,Colombo,Brinjals,271800
3/21/24,Colombo,Pumpkins,101700
3/21/24,Colombo,Spinach,398700
3/21/24,Kandy,Carrots,50400
3/21/24,Kandy,Beans,207000
3/21/24,Kandy,Cabbage,297600
3/21/24,Kandy,Tomatoes,60000
3/21/24,Kandy,Potatoes,102600
3/21/24,Kandy,Brinjals,43800
3/21/24,Kandy,Pumpkins,175200
3/21/24,Kandy,Spinach,58800
3/21/24,Batticaloa,Carrots,117000
3/21/24,Batticaloa,Beans,15750
3/21/24,Batticaloa,Cabbage,99000
3/21/24,Batticaloa,Tomatoes,87750
3/21/24,Batticaloa,Potatoes,82000
3/21/24,Batticaloa,Brinjals,27750
3/21/24,Batticaloa,Pumpkins,82750
3/21/24,Batticaloa,Spinach,75500
3/21/24,Jaffna,Carrots,65250
3/21/24,Jaffna,Beans,114250
3/21/24,Jaffna,Cabbage,94500
3/21/24,Jaffna,Tomatoes,40250
3/21/24,Jaffna,Potatoes,29750
3/21/24,Jaffna,Brinjals,79250
3/21/24,Jaffna,Pumpkins,25500
3/21/24,Jaffna,Spinach,111250
3/22/24,Colombo,Carrots,149400
3/22/24,Colombo,Beans,306000
3/22/24,Colombo,Cabbage,190800
3/22/24,Colombo,Tomatoes,120600
3/22/24,Colombo,Potatoes,185400
3/22/24,Colombo,Brinjals,409500
3/22/24,Colombo,Pumpkins,198000
3/22/24,Colombo,Spinach,175500
3/22/24,Kandy,Carrots,172200
3/22/24,Kandy,Beans,256200
3/22/24,Kandy,Cabbage,201600
3/22/24,Kandy,Tomatoes,240000
3/22/24,Kandy,Potatoes,72600
3/22/24,Kandy,Brinjals,211200
3/22/24,Kandy,Pumpkins,206400
3/22/24,Kandy,Spinach,139200
3/22/24,Batticaloa,Carrots,87250
3/22/24,Batticaloa,Beans,114000
3/22/24,Batticaloa,Cabbage,107750
3/22/24,Batticaloa,Tomatoes,107500
3/22/24,Batticaloa,Potatoes,13250
3/22/24,Batticaloa,Brinjals,18500
3/22/24,Batticaloa,Pumpkins,19000
3/22/24,Batticaloa,Spinach,63000
3/22/24,Jaffna,Carrots,30250
3/22/24,Jaffna,Beans,64250
3/22/24,Jaffna,Cabbage,72000
3/22/24,Jaffna,Tomatoes,13750
3/22/24,Jaffna,Potatoes,100250
3/22/24,Jaffna,Brinjals,23000
3/22/24,Jaffna,Pumpkins,79750
3/22/24,Jaffna,Spinach,41750
3/23/24,Colombo,Carrots,330300
3/23/24,Colombo,Beans,103500
3/23/24,Colombo,Cabbage,270000
3/23/24,Colombo,Tomatoes,66600
3/23/24,Colombo,Potatoes,226800
3/23/24,Colombo,Brinjals,158400
3/23/24,Colombo,Pumpkins,271800
3/23/24,Colombo,Spinach,140400
3/23/24,Kandy,Carrots,129600
3/23/24,Kandy,Beans,95400
3/23/24,Kandy,Cabbage,295200
3/23/24,Kandy,Tomatoes,131400
3/23/24,Kandy,Potatoes,144000
3/23/24,Kandy,Brinjals,114000
3/23/24,Kandy,Pumpkins,61800
3/23/24,Kandy,Spinach,91800
3/23/24,Batticaloa,Carrots,76250
3/23/24,Batticaloa,Beans,101750
3/23/24,Batticaloa,Cabbage,17000
3/23/24,Batticaloa,Tomatoes,122500
3/23/24,Batticaloa,Potatoes,88500
3/23/24,Batticaloa,Brinjals,54000
3/23/24,Batticaloa,Pumpkins,97000
3/23/24,Batticaloa,Spinach,117500
3/23/24,Jaffna,Carrots,87750
3/23/24,Jaffna,Beans,35250
3/23/24,Jaffna,Cabbage,66750
3/23/24,Jaffna,Tomatoes,118500
3/23/24,Jaffna,Potatoes,36250
3/23/24,Jaffna,Brinjals,87250
3/23/24,Jaffna,Pumpkins,19500
3/23/24,Jaffna,Spinach,27500
3/24/24,Colombo,Carrots,76500
3/24/24,Colombo,Beans,81000
3/24/24,Colombo,Cabbage,101700
3/24/24,Colombo,Tomatoes,83700
3/24/24,Colombo,Potatoes,236700
3/24/24,Colombo,Brinjals,194400
3/24/24,Colombo,Pumpkins,111600
3/24/24,Colombo,Spinach,372600
3/24/24,Kandy,Carrots,222600
3/24/24,Kandy,Beans,64200
3/24/24,Kandy,Cabbage,32400
3/24/24,Kandy,Tomatoes,135000
3/24/24,Kandy,Potatoes,171600
3/24/24,Kandy,Brinjals,134400
3/24/24,Kandy,Pumpkins,50400
3/24/24,Kandy,Spinach,225600
3/24/24,Batticaloa,Carrots,97750
3/24/24,Batticaloa,Beans,98750
3/24/24,Batticaloa,Cabbage,78250
3/24/24,Batticaloa,Tomatoes,63250
3/24/24,Batticaloa,Potatoes,79000
3/24/24,Batticaloa,Brinjals,98750
3/24/24,Batticaloa,Pumpkins,29500
3/24/24,Batticaloa,Spinach,40250
3/24/24,Jaffna,Carrots,37000
3/24/24,Jaffna,Beans,101500
3/24/24,Jaffna,Cabbage,46750
3/24/24,Jaffna,Tomatoes,30000
3/24/24,Jaffna,Potatoes,120500
3/24/24,Jaffna,Brinjals,106000
3/24/24,Jaffna,Pumpkins,109000
3/24/24,Jaffna,Spinach,118000
3/25/24,Colombo,Carrots,58500
3/25/24,Colombo,Beans,423000
3/25/24,Colombo,Cabbage,423000
3/25/24,Colombo,Tomatoes,220500
3/25/24,Colombo,Potatoes,277200
3/25/24,Colombo,Brinjals,289800
3/25/24,Colombo,Pumpkins,250200
3/25/24,Colombo,Spinach,196200
3/25/24,Kandy,Carrots,253200
3/25/24,Kandy,Beans,82200
3/25/24,Kandy,Cabbage,50400
3/25/24,Kandy,Tomatoes,111600
3/25/24,Kandy,Potatoes,160200
3/25/24,Kandy,Brinjals,106200
3/25/24,Kandy,Pumpkins,66600
3/25/24,Kandy,Spinach,265800
3/25/24,Batticaloa,Carrots,34500
3/25/24,Batticaloa,Beans,119750
3/25/24,Batticaloa,Cabbage,87000
3/25/24,Batticaloa,Tomatoes,19000
3/25/24,Batticaloa,Potatoes,95250
3/25/24,Batticaloa,Brinjals,26500
3/25/24,Batticaloa,Pumpkins,119250
3/25/24,Batticaloa,Spinach,29000
3/25/24,Jaffna,Carrots,55250
3/25/24,Jaffna,Beans,119000
3/25/24,Jaffna,Cabbage,40750
3/25/24,Jaffna,Tomatoes,105000
3/25/24,Jaffna,Potatoes,47500
3/25/24,Jaffna,Brinjals,30750
3/25/24,Jaffna,Pumpkins,99750
3/25/24,Jaffna,Spinach,28750
3/26/24,Colombo,Carrots,97200
3/26/24,Colombo,Beans,427500
3/26/24,Colombo,Cabbage,190800
3/26/24,Colombo,Tomatoes,307800
3/26/24,Colombo,Potatoes,164700
3/26/24,Colombo,Brinjals,361800
3/26/24,Colombo,Pumpkins,105300
3/26/24,Colombo,Spinach,86400
3/26/24,Kandy,Carrots,46800
3/26/24,Kandy,Beans,221400
3/26/24,Kandy,Cabbage,121200
3/26/24,Kandy,Tomatoes,45600
3/26/24,Kandy,Potatoes,296400
3/26/24,Kandy,Brinjals,223200
3/26/24,Kandy,Pumpkins,295800
3/26/24,Kandy,Spinach,180600
3/26/24,Batticaloa,Carrots,66250
3/26/24,Batticaloa,Beans,77750
3/26/24,Batticaloa,Cabbage,35750
3/26/24,Batticaloa,Tomatoes,40500
3/26/24,Batticaloa,Potatoes,36500
3/26/24,Batticaloa,Brinjals,112500
3/26/24,Batticaloa,Pumpkins,49500
3/26/24,Batticaloa,Spinach,17250
3/26/24,Jaffna,Carrots,27250
3/26/24,Jaffna,Beans,51250
3/26/24,Jaffna,Cabbage,99250
3/26/24,Jaffna,Tomatoes,51750
3/26/24,Jaffna,Potatoes,52250
3/26/24,Jaffna,Brinjals,123250
3/26/24,Jaffna,Pumpkins,60250
3/26/24,Jaffna,Spinach,75750
3/27/24,Colombo,Carrots,322200
3/27/24,Colombo,Beans,91800
3/27/24,Colombo,Cabbage,322200
3/27/24,Colombo,Tomatoes,90000
3/27/24,Colombo,Potatoes,123300
3/27/24,Colombo,Brinjals,50400
3/27/24,Colombo,Pumpkins,70200
3/27/24,Colombo,Spinach,320400
3/27/24,Kandy,Carrots,78000
3/27/24,Kandy,Beans,267600
3/27/24,Kandy,Cabbage,233400
3/27/24,Kandy,Tomatoes,44400
3/27/24,Kandy,Potatoes,80400
3/27/24,Kandy,Brinjals,219600
3/27/24,Kandy,Pumpkins,270600
3/27/24,Kandy,Spinach,61200
3/27/24,Batticaloa,Carrots,82250
3/27/24,Batticaloa,Beans,57500
3/27/24,Batticaloa,Cabbage,124750
3/27/24,Batticaloa,Tomatoes,27500
3/27/24,Batticaloa,Potatoes,24250
3/27/24,Batticaloa,Brinjals,122500
3/27/24,Batticaloa,Pumpkins,117750
3/27/24,Batticaloa,Spinach,64000
3/27/24,Jaffna,Carrots,103250
3/27/24,Jaffna,Beans,67250
3/27/24,Jaffna,Cabbage,44250
3/27/24,Jaffna,Tomatoes,84500
3/27/24,Jaffna,Potatoes,34750
3/27/24,Jaffna,Brinjals,40750
3/27/24,Jaffna,Pumpkins,54000
3/27/24,Jaffna,Spinach,109250
3/28/24,Colombo,Carrots,46800
3/28/24,Colombo,Beans,117900
3/28/24,Colombo,Cabbage,197100
3/28/24,Colombo,Tomatoes,129600
3/28/24,Colombo,Potatoes,297900
3/28/24,Colombo,Brinjals,229500
3/28/24,Colombo,Pumpkins,128700
3/28/24,Colombo,Spinach,395100
3/28/24,Kandy,Carrots,84600
3/28/24,Kandy,Beans,188400
3/28/24,Kandy,Cabbage,42600
3/28/24,Kandy,Tomatoes,240600
3/28/24,Kandy,Potatoes,267000
3/28/24,Kandy,Brinjals,112800
3/28/24,Kandy,Pumpkins,219600
3/28/24,Kandy,Spinach,238200
3/28/24,Batticaloa,Carrots,48000
3/28/24,Batticaloa,Beans,101250
3/28/24,Batticaloa,Cabbage,57000
3/28/24,Batticaloa,Tomatoes,36250
3/28/24,Batticaloa,Potatoes,100750
3/28/24,Batticaloa,Brinjals,60750
3/28/24,Batticaloa,Pumpkins,84000
3/28/24,Batticaloa,Spinach,54250
3/28/24,Jaffna,Carrots,102500
3/28/24,Jaffna,Beans,105750
3/28/24,Jaffna,Cabbage,110500
3/28/24,Jaffna,Tomatoes,50250
3/28/24,Jaffna,Potatoes,112250
3/28/24,Jaffna,Brinjals,58750
3/28/24,Jaffna,Pumpkins,114750
3/28/24,Jaffna,Spinach,81500
3/29/24,Colombo,Carrots,73800
3/29/24,Colombo,Beans,184500
3/29/24,Colombo,Cabbage,242100
3/29/24,Colombo,Tomatoes,187200
3/29/24,Colombo,Potatoes,211500
3/29/24,Colombo,Brinjals,396000
3/29/24,Colombo,Pumpkins,306900
3/29/24,Colombo,Spinach,106200
3/29/24,Kandy,Carrots,112200
3/29/24,Kandy,Beans,100800
3/29/24,Kandy,Cabbage,205800
3/29/24,Kandy,Tomatoes,99600
3/29/24,Kandy,Potatoes,133800
3/29/24,Kandy,Brinjals,225600
3/29/24,Kandy,Pumpkins,297000
3/29/24,Kandy,Spinach,299400
3/29/24,Batticaloa,Carrots,28250
3/29/24,Batticaloa,Beans,111250
3/29/24,Batticaloa,Cabbage,109750
3/29/24,Batticaloa,Tomatoes,101500
3/29/24,Batticaloa,Potatoes,39500
3/29/24,Batticaloa,Brinjals,82250
3/29/24,Batticaloa,Pumpkins,108250
3/29/24,Batticaloa,Spinach,121500
3/29/24,Jaffna,Carrots,56500
3/29/24,Jaffna,Beans,88750
3/29/24,Jaffna,Cabbage,121250
3/29/24,Jaffna,Tomatoes,28000
3/29/24,Jaffna,Potatoes,69750
3/29/24,Jaffna,Brinjals,96500
3/29/24,Jaffna,Pumpkins,13000
3/29/24,Jaffna,Spinach,76500
3/30/24,Colombo,Carrots,49500
3/30/24,Colombo,Beans,351000
3/30/24,Colombo,Cabbage,245700
3/30/24,Colombo,Tomatoes,46800
3/30/24,Colombo,Potatoes,221400
3/30/24,Colombo,Brinjals,216900
3/30/24,Colombo,Pumpkins,82800
3/30/24,Colombo,Spinach,400500
3/30/24,Kandy,Carrots,90000
3/30/24,Kandy,Beans,237600
3/30/24,Kandy,Cabbage,272400
3/30/24,Kandy,Tomatoes,90000
3/30/24,Kandy,Potatoes,277200
3/30/24,Kandy,Brinjals,154800
3/30/24,Kandy,Pumpkins,94200
3/30/24,Kandy,Spinach,172200
3/30/24,Batticaloa,Carrots,100000
3/30/24,Batticaloa,Beans,21750
3/30/24,Batticaloa,Cabbage,21000
3/30/24,Batticaloa,Tomatoes,68750
3/30/24,Batticaloa,Potatoes,34750
3/30/24,Batticaloa,Brinjals,113750
3/30/24,Batticaloa,Pumpkins,84000
3/30/24,Batticaloa,Spinach,57000
3/30/24,Jaffna,Carrots,60000
3/30/24,Jaffna,Beans,46750
3/30/24,Jaffna,Cabbage,22500
3/30/24,Jaffna,Tomatoes,119000
3/30/24,Jaffna,Potatoes,70000
3/30/24,Jaffna,Brinjals,26750
3/30/24,Jaffna,Pumpkins,106500
3/30/24,Jaffna,Spinach,85000
3/31/24,Colombo,Carrots,127800
3/31/24,Colombo,Beans,258300
3/31/24,Colombo,Cabbage,178200
3/31/24,Colombo,Tomatoes,201600
3/31/24,Colombo,Potatoes,68400
3/31/24,Colombo,Brinjals,48600
3/31/24,Colombo,Pumpkins,230400
3/31/24,Colombo,Spinach,423900
3/31/24,Kandy,Carrots,205800
3/31/24,Kandy,Beans,80400
3/31/24,Kandy,Cabbage,149400
3/31/24,Kandy,Tomatoes,219600
3/31/24,Kandy,Potatoes,34800
3/31/24,Kandy,Brinjals,88800
3/31/24,Kandy,Pumpkins,186600
3/31/24,Kandy,Spinach,89400
3/31/24,Batticaloa,Carrots,93000
3/31/24,Batticaloa,Beans,68250
3/31/24,Batticaloa,Cabbage,55750
3/31/24,Batticaloa,Tomatoes,108750
3/31/24,Batticaloa,Potatoes,101500
3/31/24,Batticaloa,Brinjals,65500
3/31/24,Batticaloa,Pumpkins,31250
3/31/24,Batticaloa,Spinach,15000
3/31/24,Jaffna,Carrots,16000
3/31/24,Jaffna,Beans,13750
3/31/24,Jaffna,Cabbage,34750
3/31/24,Jaffna,Tomatoes,37000
3/31/24,Jaffna,Potatoes,50000
3/31/24,Jaffna,Brinjals,65250
3/31/24,Jaffna,Pumpkins,53500
3/31/24,Jaffna,Spinach,64000
4/1/24,Colombo,Carrots,251100
4/1/24,Colombo,Beans,205200
4/1/24,Colombo,Cabbage,72900
4/1/24,Colombo,Tomatoes,382500
4/1/24,Colombo,Potatoes,218700
4/1/24,Colombo,Brinjals,91800
4/1/24,Colombo,Pumpkins,81900
4/1/24,Colombo,Spinach,323100
4/1/24,Kandy,Carrots,227400
4/1/24,Kandy,Beans,78600
4/1/24,Kandy,Cabbage,54600
4/1/24,Kandy,Tomatoes,237600
4/1/24,Kandy,Potatoes,46800
4/1/24,Kandy,Brinjals,72600
4/1/24,Kandy,Pumpkins,207000
4/1/24,Kandy,Spinach,111000
4/1/24,Batticaloa,Carrots,77000
4/1/24,Batticaloa,Beans,94750
4/1/24,Batticaloa,Cabbage,79250
4/1/24,Batticaloa,Tomatoes,117500
4/1/24,Batticaloa,Potatoes,116000
4/1/24,Batticaloa,Brinjals,56250
4/1/24,Batticaloa,Pumpkins,92500
4/1/24,Batticaloa,Spinach,41250
4/1/24,Jaffna,Carrots,114500
4/1/24,Jaffna,Beans,73250
4/1/24,Jaffna,Cabbage,79000
4/1/24,Jaffna,Tomatoes,101500
4/1/24,Jaffna,Potatoes,106500
4/1/24,Jaffna,Brinjals,33250
4/1/24,Jaffna,Pumpkins,75000
4/1/24,Jaffna,Spinach,87250
4/2/24,Colombo,Carrots,131400
4/2/24,Colombo,Beans,154800
4/2/24,Colombo,Cabbage,264600
4/2/24,Colombo,Tomatoes,65700
4/2/24,Colombo,Potatoes,419400
4/2/24,Colombo,Brinjals,77400
4/2/24,Colombo,Pumpkins,272700
4/2/24,Colombo,Spinach,282600
4/2/24,Kandy,Carrots,210600
4/2/24,Kandy,Beans,124200
4/2/24,Kandy,Cabbage,218400
4/2/24,Kandy,Tomatoes,31200
4/2/24,Kandy,Potatoes,61200
4/2/24,Kandy,Brinjals,236400
4/2/24,Kandy,Pumpkins,226200
4/2/24,Kandy,Spinach,138000
4/2/24,Batticaloa,Carrots,16250
4/2/24,Batticaloa,Beans,95750
4/2/24,Batticaloa,Cabbage,37000
4/2/24,Batticaloa,Tomatoes,14500
4/2/24,Batticaloa,Potatoes,50500
4/2/24,Batticaloa,Brinjals,122000
4/2/24,Batticaloa,Pumpkins,119500
4/2/24,Batticaloa,Spinach,85000
4/2/24,Jaffna,Carrots,12750
4/2/24,Jaffna,Beans,72500
4/2/24,Jaffna,Cabbage,87000
4/2/24,Jaffna,Tomatoes,30500
4/2/24,Jaffna,Potatoes,65000
4/2/24,Jaffna,Brinjals,78750
4/2/24,Jaffna,Pumpkins,106000
4/2/24,Jaffna,Spinach,50250
4/3/24,Colombo,Carrots,384300
4/3/24,Colombo,Beans,188100
4/3/24,Colombo,Cabbage,266400
4/3/24,Colombo,Tomatoes,349200
4/3/24,Colombo,Potatoes,224100
4/3/24,Colombo,Brinjals,430200
4/3/24,Colombo,Pumpkins,101700
4/3/24,Colombo,Spinach,126900
4/3/24,Kandy,Carrots,102600
4/3/24,Kandy,Beans,290400
4/3/24,Kandy,Cabbage,238200
4/3/24,Kandy,Tomatoes,275400
4/3/24,Kandy,Potatoes,207600
4/3/24,Kandy,Brinjals,77400
4/3/24,Kandy,Pumpkins,43200
4/3/24,Kandy,Spinach,154200
4/3/24,Batticaloa,Carrots,66500
4/3/24,Batticaloa,Beans,89250
4/3/24,Batticaloa,Cabbage,64000
4/3/24,Batticaloa,Tomatoes,48750
4/3/24,Batticaloa,Potatoes,70250
4/3/24,Batticaloa,Brinjals,67500
4/3/24,Batticaloa,Pumpkins,33500
4/3/24,Batticaloa,Spinach,16000
4/3/24,Jaffna,Carrots,41250
4/3/24,Jaffna,Beans,39000
4/3/24,Jaffna,Cabbage,90000
4/3/24,Jaffna,Tomatoes,46750
4/3/24,Jaffna,Potatoes,17250
4/3/24,Jaffna,Brinjals,41250
4/3/24,Jaffna,Pumpkins,121000
4/3/24,Jaffna,Spinach,92500
4/4/24,Colombo,Carrots,324000
4/4/24,Colombo,Beans,243900
4/4/24,Colombo,Cabbage,342000
4/4/24,Colombo,Tomatoes,407700
4/4/24,Colombo,Potatoes,237600
4/4/24,Colombo,Brinjals,286200
4/4/24,Colombo,Pumpkins,418500
4/4/24,Colombo,Spinach,390600
4/4/24,Kandy,Carrots,205800
4/4/24,Kandy,Beans,100800
4/4/24,Kandy,Cabbage,285000
4/4/24,Kandy,Tomatoes,241800
4/4/24,Kandy,Potatoes,42600
4/4/24,Kandy,Brinjals,237000
4/4/24,Kandy,Pumpkins,247800
4/4/24,Kandy,Spinach,160800
4/4/24,Batticaloa,Carrots,66250
4/4/24,Batticaloa,Beans,70250
4/4/24,Batticaloa,Cabbage,25500
4/4/24,Batticaloa,Tomatoes,97500
4/4/24,Batticaloa,Potatoes,74250
4/4/24,Batticaloa,Brinjals,57250
4/4/24,Batticaloa,Pumpkins,30000
4/4/24,Batticaloa,Spinach,100750
4/4/24,Jaffna,Carrots,14000
4/4/24,Jaffna,Beans,114000
4/4/24,Jaffna,Cabbage,59750
4/4/24,Jaffna,Tomatoes,78000
4/4/24,Jaffna,Potatoes,38250
4/4/24,Jaffna,Brinjals,73750
4/4/24,Jaffna,Pumpkins,72250
4/4/24,Jaffna,Spinach,92500
4/5/24,Colombo,Carrots,375300
4/5/24,Colombo,Beans,128700
4/5/24,Colombo,Cabbage,215100
4/5/24,Colombo,Tomatoes,102600
4/5/24,Colombo,Potatoes,181800
4/5/24,Colombo,Brinjals,192600
4/5/24,Colombo,Pumpkins,381600
4/5/24,Colombo,Spinach,174600
4/5/24,Kandy,Carrots,113400
4/5/24,Kandy,Beans,291000
4/5/24,Kandy,Cabbage,65400
4/5/24,Kandy,Tomatoes,288600
4/5/24,Kandy,Potatoes,213600
4/5/24,Kandy,Brinjals,63000
4/5/24,Kandy,Pumpkins,195600
4/5/24,Kandy,Spinach,109200
4/5/24,Batticaloa,Carrots,37250
4/5/24,Batticaloa,Beans,122750
4/5/24,Batticaloa,Cabbage,43500
4/5/24,Batticaloa,Tomatoes,38000
4/5/24,Batticaloa,Potatoes,107000
4/5/24,Batticaloa,Brinjals,101250
4/5/24,Batticaloa,Pumpkins,66000
4/5/24,Batticaloa,Spinach,41000
4/5/24,Jaffna,Carrots,102250
4/5/24,Jaffna,Beans,48750
